evidence_id	claim_group_id	claim	claim_value	entity	timeframe	source_id	source_url	source_type	access_date	excerpt_or_observation	evidence_grade	supports	counter_evidence	verification_status	confidence	independent_source_count	source_independence	reviewer_status	review_notes
EV-011	CG-SRC-006-OBSERVATION	Although the exact date of the 1st National Congress was later determined by party officials to be 23 July 1921, the date of the anniversary has not been changed.<ref>{{Cite news |last=楊立傑 |date=30 April 2013 |title=共产主义小组的建立与中国共产党的成立 |language=zh-Hans-CN |work=Xinhua |url=http://news.xinhuanet.com/ziliao/2004-10/25/content 2136770.htm |access-date=3 December 2021 |archive-url=https://web.archive.org/web/20130430055514/http://news.xinhuanet.com/ziliao/2004-10/25/content 2136770.htm |archive-date	unstructured_observation	Chinese	2013	SRC-006	https://en.wikipedia.org/wiki/Chinese_Communist_Party	encyclopedia	2026-07-22	Although the exact date of the 1st National Congress was later determined by party officials to be 23 July 1921, the date of the anniversary has not been changed.<ref>{{Cite news |last=楊立傑 |date=30 April 2013 |title=共产主义小组的建立与中国共产党的成立 |language=zh-Hans-CN |work=Xinhua |url=http://news.xinhuanet.com/ziliao/2004-10/25/content 2136770.htm |access-date=3 December 2021 |archive-url=https://web.archive.org/web/20130430055514/http://news.xinhuanet.com/ziliao/2004-10/25/content 2136770.htm |archive-date	weak	inference		single_source	low	1	independent	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-012	CG-SRC-006-OBSERVATION	and others 1st National Congress representatives: Henk Sneevliet Vladimir Neumann Li Da Li Hanjun Zhang Guotao Liu Renjing Mao Zedong He Shuheng Dong Biwu Chen Tanqiu Wang Jinmei Deng Enming Chen Gongbo Zhou Fohai Bao Huiseng Founded 23 July 1921 (104 years, 363 days) at the 1st National Congress [ a ] Site of the First National Congress of the Chinese Communist Party (106 Rue Wantz, Shanghai French Concession ; now 76 Xingye Road, Huangpu District , Shanghai, China) Headquarters Zhongnanhai , X	unstructured_observation	Chinese	2025	SRC-006	https://en.wikipedia.org/wiki/Chinese_Communist_Party	encyclopedia	2026-07-22	and others 1st National Congress representatives: Henk Sneevliet Vladimir Neumann Li Da Li Hanjun Zhang Guotao Liu Renjing Mao Zedong He Shuheng Dong Biwu Chen Tanqiu Wang Jinmei Deng Enming Chen Gongbo Zhou Fohai Bao Huiseng Founded 23 July 1921 (104 years, 363 days) at the 1st National Congress [ a ] Site of the First National Congress of the Chinese Communist Party (106 Rue Wantz, Shanghai French Concession ; now 76 Xingye Road, Huangpu District , Shanghai, China) Headquarters Zhongnanhai , X	weak	inference		single_source	low	1	duplicate	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-013	CG-SRC-007-OBSERVATION	--> Search Clear Search syntax tips Provide feedback --> We read every piece of feedback, and take your input very seriously.	unstructured_observation	Chinese	unknown	SRC-007	https://github.com/J-11/Aseprite-Simplified-Chinese	repo	2026-07-22	--> Search Clear Search syntax tips Provide feedback --> We read every piece of feedback, and take your input very seriously.	weak	inference		single_source	low	1	independent	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-014	CG-SRC-007-OBSERVATION	Activity Stars 556 stars Watchers 12 watching Forks 64 forks Report repository Releases 2 对应Aseprite版本v1.2.23（主题无改动） Latest Nov 1, 2019 + 1 release Packages 0 Uh oh!	unstructured_observation	Chinese	2019	SRC-007	https://github.com/J-11/Aseprite-Simplified-Chinese	repo	2026-07-22	Activity Stars 556 stars Watchers 12 watching Forks 64 forks Report repository Releases 2 对应Aseprite版本v1.2.23（主题无改动） Latest Nov 1, 2019 + 1 release Packages 0 Uh oh!	weak	inference		single_source	low	1	duplicate	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-015	CG-SRC-008-OBSERVATION	[ 27 ] 1927–1937: First phase [ edit ] First phase Traditional Chinese 第一次國共內戰 Simplified Chinese 第一次国共内战 Literal meaning First Kuomintang–Communist civil war Transcriptions Standard Mandarin Hanyu Pinyin Dì-Yī Cì Guó-Gòng Nèizhàn Name in mainland China Traditional Chinese 第二次國內革命戰爭 Simplified Chinese 第二次国内革命战争 Literal meaning Second National Revolutionary War Transcriptions Standard Mandarin Hanyu Pinyin Dìèrcì guónèi gémìng zhànzhēng Early communist uprisings [ edit ] Main article: Encirclemen	unstructured_observation	Chinese	unknown	SRC-008	https://en.wikipedia.org/wiki/Chinese_Civil_War	encyclopedia	2026-07-22	[ 27 ] 1927–1937: First phase [ edit ] First phase Traditional Chinese 第一次國共內戰 Simplified Chinese 第一次国共内战 Literal meaning First Kuomintang–Communist civil war Transcriptions Standard Mandarin Hanyu Pinyin Dì-Yī Cì Guó-Gòng Nèizhàn Name in mainland China Traditional Chinese 第二次國內革命戰爭 Simplified Chinese 第二次国内革命战争 Literal meaning Second National Revolutionary War Transcriptions Standard Mandarin Hanyu Pinyin Dìèrcì guónèi gémìng zhànzhēng Early communist uprisings [ edit ] Main article: Encirclemen	weak	inference		single_source	low	1	independent	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-016	CG-SRC-008-OBSERVATION	[ 92 ] : 54 In the last month of World War II in East Asia, Soviet forces launched the huge Manchurian Strategic Offensive Operation against the Japanese Kwantung Army in Manchuria and along the Chinese-Mongolian border.	unstructured_observation	Chinese	unknown	SRC-008	https://en.wikipedia.org/wiki/Chinese_Civil_War	encyclopedia	2026-07-22	[ 92 ] : 54 In the last month of World War II in East Asia, Soviet forces launched the huge Manchurian Strategic Offensive Operation against the Japanese Kwantung Army in Manchuria and along the Chinese-Mongolian border.	weak	inference		single_source	low	1	duplicate	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-017	CG-SRC-009-OBSERVATION	--> Search Clear Search syntax tips Provide feedback --> We read every piece of feedback, and take your input very seriously.	unstructured_observation	Chinese	unknown	SRC-009	https://github.com/kingmo888/Spyder_Simplified_Chinese	repo	2026-07-22	--> Search Clear Search syntax tips Provide feedback --> We read every piece of feedback, and take your input very seriously.	weak	inference		single_source	low	1	independent	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-018	CG-SRC-009-OBSERVATION	2017-10-31: 解决各种编码问题，最突出的问题就是： TypeError: 'encoding' in an invalid keyword argument for this function 这是由于Python2.x对文件支持问题导致的，已经修复。还有一些诸如编码神马的问题也一并修复。	unstructured_observation	Chinese	2017-01	SRC-009	https://github.com/kingmo888/Spyder_Simplified_Chinese	repo	2026-07-22	2017-10-31: 解决各种编码问题，最突出的问题就是： TypeError: 'encoding' in an invalid keyword argument for this function 这是由于Python2.x对文件支持问题导致的，已经修复。还有一些诸如编码神马的问题也一并修复。	weak	inference		single_source	low	1	duplicate	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-019	CG-SRC-010-OBSERVATION	The CSL and China League One's goals are to promote high-quality and high-level competition, introduce advanced managerial concepts to the market, enforce the delivery of minimum standards of professionalism, encourage an influx of higher-quality foreign coaches and players, and gradually establish the European system for player registrations and transfers.	unstructured_observation	Chinese	unknown	SRC-010	https://en.wikipedia.org/wiki/Chinese_Super_League	encyclopedia	2026-07-22	The CSL and China League One's goals are to promote high-quality and high-level competition, introduce advanced managerial concepts to the market, enforce the delivery of minimum standards of professionalism, encourage an influx of higher-quality foreign coaches and players, and gradually establish the European system for player registrations and transfers.	weak	inference		single_source	low	1	independent	accepted	Heuristic sentence extraction; verify manually before relying on it.
EV-020	CG-SRC-010-OBSERVATION	"[ citation needed ] In 2022, Chinese Communist Party (CCP) officials launched an anti-corruption probe resulting in eight footballing officials being investigated for ""suspected of violations of discipline and law""."	unstructured_observation	Chinese	2022	SRC-010	https://en.wikipedia.org/wiki/Chinese_Super_League	encyclopedia	2026-07-22	"[ citation needed ] In 2022, Chinese Communist Party (CCP) officials launched an anti-corruption probe resulting in eight footballing officials being investigated for ""suspected of violations of discipline and law""."	weak	inference		single_source	low	1	duplicate	accepted	Heuristic sentence extraction; verify manually before relying on it.
