agent_id	task_id	lane	claim_group_id	evidence_ids	source_ids	status	verification_status	confidence	notes
R06	R06-STUDENT-RESOURCES	worker	student-editorial-opportunities	EC-R06-01..11	SRC-R06-BRISTOL-MOBILE,SRC-R06-UCL-MOBILE,SRC-R06-BATH-SIM,SRC-R06-RCA-ARRIVAL,SRC-R06-BROOKES-SIM,SRC-R06-SHEFFIELD-ESSENTIALS,SRC-R06-GREENWICH-ARRIVAL,SRC-R06-EXETER-TRAVEL,SRC-R06-BRIGHTON-MOBILE,SRC-R06-STANDREWS-LINKPOLICY,SRC-R06-LEEDS-WEBREG	done	single_source=11	medium-high	Worker reconstructed complete pending cards; topical fit and public routes are not permission, acceptance or endorsement
CURATOR-06	CURATE-R06	curator	student-editorial-opportunities	EC-R06-01..11	SRC-R06-BRISTOL-MOBILE,SRC-R06-UCL-MOBILE,SRC-R06-BATH-SIM,SRC-R06-RCA-ARRIVAL,SRC-R06-BROOKES-SIM,SRC-R06-SHEFFIELD-ESSENTIALS,SRC-R06-GREENWICH-ARRIVAL,SRC-R06-EXETER-TRAVEL,SRC-R06-BRIGHTON-MOBILE,SRC-R06-STANDREWS-LINKPOLICY,SRC-R06-LEEDS-WEBREG	accepted	accepted=11; pending=0; rejected=0	high	Curator independently reopened all sources and accepted only page topics dates lists and explicit policy text; 403 plus Jina limits are retained and no submission permission or backlink is inferred
R07	R07-UK-EDITORIAL	worker	uk-editorial-opportunities	EC-R07-01..10	SRC-R07-SIMONLYFINDER,SRC-R07-EXPATICA,SRC-R07-USWITCH,SRC-R07-EXPERTREVIEWS,SRC-R07-SELECTRA,SRC-R07-ISPREVIEW,SRC-R07-SIMSHERPA,SRC-R07-CHOOSE,SRC-R07-KENSTECHTIPS,SRC-R07-WHICH	done	single_source=10	medium-high	Worker reconstructed complete pending cards; contact routes and existing citations are not guest-post acceptance or backlinks
CURATOR-07	CURATE-R07	curator	uk-editorial-opportunities	EC-R07-01..10	SRC-R07-SIMONLYFINDER,SRC-R07-EXPATICA,SRC-R07-USWITCH,SRC-R07-EXPERTREVIEWS,SRC-R07-SELECTRA,SRC-R07-ISPREVIEW,SRC-R07-SIMSHERPA,SRC-R07-CHOOSE,SRC-R07-KENSTECHTIPS-CONTACT,SRC-R07-WHICH	accepted	accepted=10; pending=0; rejected=0	high	Curator independently reopened the pages and accepted only dates sources policy statements and editorial-method facts; Ken's policy was rebound to its contact URL and no contribution acceptance or backlink is inferred
R08	R08-VIDEO	worker	video-question-landscape	EC-R08-01..12	SRC-R08-YT-ESIM,SRC-R08-YT-ABROAD,SRC-R08-YT-AGEUK,SRC-R08-YT-HK,SRC-R08-YT-NICO,SRC-R08-YT-LIFECYCLE,SRC-R08-YT-WIFICALLING,SRC-R08-YT-CODEX,SRC-R08-YT-25YEAR,SRC-R08-BILI-STUDENT,SRC-R08-BILI-WHITECARD,SRC-R08-BILI-ANDROID	done	single_source=12	medium	Worker reconstructed video metadata cards; no full-transcript demand prevalence accuracy or success inference
CURATOR-08	CURATE-R08	curator	video-question-landscape	EC-R08-01..12	SRC-R08-YT-ESIM,SRC-R08-YT-ABROAD,SRC-R08-YT-AGEUK,SRC-R08-YT-HK,SRC-R08-YT-NICO,SRC-R08-YT-LIFECYCLE,SRC-R08-YT-WIFICALLING,SRC-R08-YT-CODEX,SRC-R08-YT-25YEAR,SRC-R08-BILI-STUDENT,SRC-R08-BILI-WHITECARD,SRC-R08-BILI-ANDROID	accepted	accepted=12; pending=0; rejected=0	medium	Curator independently reopened all public metadata and accepted only official video existence or attributed title-description claims; no transcript accuracy demand prevalence policy compatibility or success inference
R09	R09-X	worker	social-question-landscape	EC-R09-01..12	SRC-R09-X-EUROAMING,SRC-R09-X-THAILAND,SRC-R09-X-MFA,SRC-R09-X-OUTAGE,SRC-R09-X-INTLCALL,SRC-R09-X-INACTIVE,SRC-R09-X-SELLERCOST,SRC-R09-X-SHORTCUT,SRC-R09-X-ESIMBYPASS,SRC-R09-X-OTP,SRC-R09-X-DATATOOL,SRC-R09-X-SALESNARRATIVE	done	single_source=12	medium	Worker reconstructed public-thread cards; appearance does not establish prevalence success current policy or commercial capability
CURATOR-09	CURATE-R09	curator	social-question-landscape	EC-R09-01..12	SRC-R09-X-EUROAMING,SRC-R09-X-THAILAND,SRC-R09-X-MFA,SRC-R09-X-OUTAGE,SRC-R09-X-INTLCALL,SRC-R09-X-INACTIVE,SRC-R09-X-SELLERCOST,SRC-R09-X-SHORTCUT,SRC-R09-X-ESIMBYPASS,SRC-R09-X-OTP,SRC-R09-X-DATATOOL,SRC-R09-X-SALESNARRATIVE	accepted	accepted=12; pending=0; rejected=0	medium	Curator independently reopened all threads and accepted only attributed questions replies author claims and counterexample appearance; no current policy prevalence causality compatibility method safety or success-rate inference
R10	R10-ENTITY	worker	entity-disambiguation	EC-R10-01..11	Production site, giffgaff official, repository, public search	done	mixed direct and gap evidence	high	Organization and Brand are separated; programme-specific official clauses are distinguished; real authorization and business policies remain missing.
CURATOR-10	CURATE-R10	curator	entity-disambiguation	EC-R10-01..11	SRC-R10-HOME,SRC-R10-CONTACT,SRC-R10-GIFFGAFF-TERMS,SRC-R10-LOCAL-SCHEMA,SRC-R10-LOCAL-POLICY,SRC-R10-PROD-POLICY,SRC-R10-GITHUB,SRC-R10-LOCAL-AUTHOR	partially-curated-open-cards	accepted=10; pending=1; rejected=0	mixed	Independent review corrected the clause-scope defect and accepted only the Pioneers Spread giffgaff and Super Recruiters document structure; EC-R10-10 remains pending because missing getgiffgaff-specific programme or licence evidence proves neither authorization nor its absence.
R11	R11-CRAWLERS	worker	crawler-policy	EC-R11-01..10	OpenAI,Anthropic,Perplexity,Google,Bing official docs	done	corroborated official mapping	high	Google-Extended controls both training and grounding
CURATOR-11	CURATE-R11	curator	crawler-policy	EC-R11-01..10	SRC-R11-OPENAI,SRC-R11-ANTHROPIC,SRC-R11-PERPLEXITY,SRC-R11-GOOGLE-COMMON,SRC-R11-BING	accepted	accepted=10; pending=0; rejected=0	high	Curator rechecked current official documentation; acceptance is limited to agent purposes and does not prove crawl, index, ranking or citation.
R12	R12-LLMS	worker	llms-proposal	EC-R12-01..09	llmstxt.org,Answer.AI,GitHub,Mintlify,AI platform docs,industry studies	done	mixed standard and adoption evidence	medium	No ranking indexing or citation benefit claimed
CURATOR-12	CURATE-R12	curator	llms-proposal	EC-R12-01..09	SRC-R12-SPEC,SRC-R12-ANSWERAI,SRC-R12-GITHUB,SRC-R12-MINTLIFY,SRC-R11-OPENAI,SRC-R11-ANTHROPIC,SRC-R12-GOOGLE-AI,SRC-R12-PROD-LLMS,SRC-R12-LOCAL-LLMS	accepted	accepted=9; pending=0; rejected=0	high	Curator accepted format, platform-document and production/local-state facts only; no adoption, ranking, retrieval or citation outcome inferred.
R13	R13-SCHEMA	worker	structured-data	EC-R13-01..09	Google Search Central,Schema.org,rendered growth pages	done	corroborated local and official	high	WebApplication semantic markup is not SoftwareApplication rich-result eligibility
CURATOR-13	CURATE-R13	curator	structured-data	EC-R13-01..09	SRC-R13-GOOGLE-INTRO,SRC-R13-GOOGLE-ARTICLE,SRC-R13-GOOGLE-SOFTWARE,SRC-R13-GOOGLE-ORG,SRC-R13-GOOGLE-UPDATES,SRC-R13-LOCAL-RELEASE	accepted	accepted=9; pending=0; rejected=0	high	Curator rechecked Google documentation and local JSON-LD; no rich-result display or eligibility beyond documented field rules is claimed.
R14	R14-CITABILITY	worker	passage-citability	EC-R14-01..06	Production raw HTML,Jina,content registry	done	direct audit	high	Observable 6-factor rubric only
CURATOR-14	CURATE-R14	curator	passage-citability	EC-R14-01..06	SRC-R14-LOCAL-RELEASE,SRC-R14-PRODUCTION	accepted	accepted=6; pending=0; rejected=0	high	Curator accepted observable structure, evidence adjacency, dates, formulas and boundaries; no AI-platform citation or visibility score is claimed.
R15	R15-GROWTH-EVIDENCE	worker	growth-evidence	EC-R15-01..09	Repository and accepted official evidence	done	direct audit	high	Three previews remain noindex; no outreach before fixes
CURATOR-15	CURATE-R15	curator	growth-evidence	EC-R15-01..09	SRC-R15-LOCAL-REGISTRY,SRC-R15-LOCAL-RELEASE,SRC-R15-LOCAL-TOOLS,SRC-R15-PROD-TOOLS,SRC-R15-GIFF-INACTIVE,SRC-R15-GIFF-ROAMING,SRC-R15-GIFF-TRAVEL	accepted	accepted=9; pending=0; rejected=0	high	Curator checked local implementation, production drift and official source boundaries; Ofcom wording corrected and no SKU, OTP, sample or transaction outcome inferred.
R30	R30-SYNTHESIS	curator-summary	counter-evidence-research-synthesis	none-in-evidence-tsv	research ledgers production spot checks and worker handoffs	curator-summary	bounded-synthesis-accepted-with-16-pending	high	Synthesis narrowed after independent red-team; it preserves all 16 pending IDs and separates accepted research from execution observations; this is not 30 of 30 program acceptance
CURATOR-30	CURATE-R30	independent-review	counter-evidence-research-synthesis	none-in-evidence-tsv	r30-independent-review.md,final_synthesis.md,evidence_cards.tsv,verification-e29.md,2026-07-17-handoff	accepted	bounded-synthesis-accepted-with-16-pending	high	Independent red-team requires current 196/16 decisions across 212 cards, exact pending inventory, programme-scoped R10 terms, platform-scoped Zhihu and X rules, project-scoped GitHub anti-spam wording and explicit execution-provenance separation; EC-R05-07 remains only a current asset-form observation and does not recover the old citation provenance.
E01	E01-CURATION	execution	research-ledger-curation	final_synthesis.md,source_gap_backlog.md	agent_tasks.tsv,agent_ledger.tsv,evidence_cards.tsv	completed-evidence-gaps-open	historical-gap-preservation-cross-check-complete; later-independent-R30-accepted-with-16-pending	high	A bounded cross-check verified that no missing 20-field cards were manufactured; E01 was not itself an independent acceptance decision for R30, which was accepted later with all 16 pending cards preserved
E02	E02-LLMS	execution	llms-task-index	curated local llms.txt build	route-manifest,release HTML	completed-local-not-deployed	local-tests-pass-production-old	high	39 index URLs curated exactly once; three noindex routes excluded; llms-full remains private 410
E03	E03-ROBOTS	execution	crawler-policy	public/robots.txt	R11 official crawler mapping	completed-local-not-deployed	per-UA-policy-tested	high	Search and user-triggered agents separated from excluded training/data-use agents; Google-Extended opt-out retained
E04	E04-SCHEMA	execution	structured-data	growth JSON-LD	verified 1400x1000 image and schema tests	completed-local-not-deployed	conservative-schema-pass	high	No invented Person sameAs Offer price review rating or publication date added
E05	E05-ANSWERS	execution	passage-citability	five direct answers	e05-answer-first.test.mjs	completed-local-not-deployed	local-tests-pass	high	Dated answer-first blocks added to all five indexable growth pages
E06	E06-SOURCE-PROXIMITY	execution	claim-source-proximity	growth content sections	official source registry	completed-local-not-deployed	local-tests-pass	high	Key claims retain official source and review date in the same rendered section
E07	E07-ENTITY-BOUNDARY	execution	entity-disclosure	growth disclosures	content-source-of-truth.md	completed-local-not-deployed	visible-boundary-tested	high	getgiffgaff independent status and seller-defined G0/G2 boundary made visible
E08	E08-EDITORIAL	execution	revision-accountability	Organization review and expiry copy	growth registry	completed-local-not-deployed	no-fake-person-pass	high	Accountability remains organizational; no fake author credentials
E09	E09-OUTBOUND	execution	link-semantics	growth external links	growth-external-links.test.mjs	completed-local-not-deployed	runtime-link-classification-pass	high	Official evidence and contact channel links are explicitly classified and safely opened
E10	E10-INTERNAL-LINKS	execution	internal-link-graph	9 approved legacy slots	related-links.json,source-cards-link-graph.test.mjs	completed-local-not-deployed	depth-and-inlinks-pass	high	Each indexable growth page has at least two thematic inlinks and depth at most two
E11	E11-SOURCE-OF-TRUTH	execution	external-content-facts	content-source-of-truth.md	accepted R02 and bounded summaries	completed-local-release-gated	publication-gates-open	high	No external publication; dynamic facts require recheck and roaming production remains blocked
E12	E12-PITCHES	execution	target-specific-drafts	pitch-templates.md	prospect ledger	draft-not-sent	permission-not-verified	high	No contact acceptance placement anchor or dofollow request
E13	E13-PROSPECTS	execution	prospect-qualification	backlink-prospects.csv	R06,R07,R24 summaries and 2026-07-17 public-channel refresh	completed-local-no-outreach	23-candidates-22-hostnames-one-general-policy	high	All action and live-result fields remain empty; no Issue PR message or form was submitted
E14	E14-ARRIVAL-KIT	execution	earned-link-kit	arrival-checklist-kit.md	content-source-of-truth.md	draft-not-sent	asset-ready-release-gated	high	No placement or publisher acceptance claimed
E15	E15-REMINDER-KIT	execution	earned-link-kit	keep-number-reminder-kit.md	content-source-of-truth.md	draft-not-sent	asset-ready-release-gated	high	Fifth-month buffer is not represented as official deadline
E16	E16-ROAMING-KIT	execution	earned-link-kit	china-roaming-calculator-kit.md	R02 official rates and local formula tests	completed-but-release-blocked	production-old-formula	high	Do not pitch or cite tool output before deployment and production verification
E17	E17-G0G2-KIT	execution	earned-link-kit	g0-g2-cost-kit.md	user-input formula	completed-but-commerce-blocked	business-evidence-missing	high	No current price inventory balance recommendation payment or legality claim
E18	E18-SIM-CHOICE-KIT	execution	earned-link-kit	uk-sim-choice-kit.md	primary-source boundaries	draft-not-sent	asset-ready-release-gated	high	No best-card rank or coverage guarantee
E19	E19-ZHIHU	execution	platform-draft	zhihu-answer.md	content-source-of-truth.md	draft-blocked-not-published	account-scope-and-release-gates-open	high	Institution-account anti-spam rules are readable, but account type, general applicable rules, release/identity review and specific post/link permission remain unresolved
E20	E20-WECHAT	execution	platform-draft	wechat-article.md	content-source-of-truth.md	draft-not-published	manual-review-pending	high	No publication or account action performed
E21	E21-VIDEO	execution	platform-draft	video-explainer.md	content-source-of-truth.md	draft-not-published	manual-review-pending	high	No upload transcript or media reuse action performed
E22	E22-X	execution	platform-draft	x-thread.md	content-source-of-truth.md	draft-not-published	manual-review-pending	high	No post reply or account action performed
E23	E23-GITHUB	execution	contribution-draft	github-contribution-proposal.md	maintainer-policy boundary	draft-permission-gated-not-opened	permission-required	high	No Issue PR or message; correction flow is not a promotional backlink route
E24	E24-UNIVERSITY	execution	resource-draft	university-resource-pitch.md	five university prospect briefs	draft-do-not-send	policy-and-contact-unverified	high	No contacts inferred and no message sent
E25	E25-MEDIA-KIT	execution	publisher-facts	publisher-fact-sheet-and-media-kit.md	content-source-of-truth.md	completed-internal-not-sent	15-public-links-checked	high	No legalName spokesperson press asset media adoption or backlink invented
E26	E26-AUTOMATED-GATES	execution	technical-tests	tools.js,roaming-cost.test.mjs	SEO GEO schema robots graph suites	completed-local	focused-44-pass	high	Overflow unsafe SMS units and tiny positive incoming calls now fail closed or bill correctly
E27	E27-OUTREACH-VALIDATOR	execution	outreach-safety	validate-outreach-assets.mjs,outreach-assets-validation.test.mjs	23 candidates across 22 hostnames,7 drafts,15 markdown	completed-local	validator-and-4-tests-pass	high	Reject/live transitions contact-as-permission and link-scheme requests fail closed
E28	E28-REDTEAM	execution	privacy-identity-commerce-spam	execution-red-team-e28.md	production and repository observations	completed-blockers-open	five-P0-three-P1-or-external	high	No legal conclusion; purchase outreach and merge remain blocked
E29	E29-VERIFICATION	execution	local-and-production-gates	verification-e29.md	npm coverage,verify,postdeploy,browser	completed-production-failed	local-148-tests-pass-production-21-findings	high	Production has 15 two-hop variants, four policy-page 404s and two Cloudflare robots source conflicts; it also still serves the old roaming formula and old llms list
E30	E30-HANDOFF	execution	final-independent-review	HANDOFF-2026-07-17-SEO-GEO-60-LANES.md	all execution artifacts and gates	completed-with-open-blockers	no-deploy-no-public-actions	high	Thirty execution lanes delivered with exact local draft blocked and externally-pending states; research acceptance remains incomplete
R16	R16-APPEND-ONLY	worker	append-only-boundary	EC-R16-01..03	SRC-R16-FREEZE,SRC-R16-RELATED,SRC-R16-GATE	done	single_source=3	high	Three source-specific cards; no frozen body or navigation edit proposed
R17	R17-SEARCH-CONSOLES	worker	search-submission-boundary,search-console-measurement,indexnow-verification,indexnow-getgiffgaff-receipt,search-backend-readback	EC-R17-01..07	SRC-R17-GOOGLE-SITEMAP,SRC-R17-GSC-REPORT,SRC-R17-INDEXNOW,SRC-R17-BING-INDEXNOW,SRC-R17-REPO-RECEIPT,SRC-R17-GSC-BACKEND,SRC-R17-BING-BACKEND	done	corroborated=2; single_source=3; blocked=2	medium-high	No submission or login; current GSC and Bing readback remains blocked
R18	R18-BAIDU	worker	baidu-submission-boundary,baidu-property-verification,baidu-robots,baidu-getgiffgaff-state	EC-R18-01..04	SRC-R18-BAIDU-SUBMIT,SRC-R18-BAIDU-SITE,SRC-R18-BAIDU-ROBOTS,SRC-R18-BAIDU-BACKEND	done	single_source=3; blocked=1	high	No login real-name phone OTP verification or submission performed
R19	R19-PERFORMANCE	worker	core-web-vitals-thresholds,performance-evidence-types,getgiffgaff-field-cwv,getgiffgaff-lab-performance	EC-R19-01..05	SRC-R19-VITALS,SRC-R19-TOOLS,SRC-R19-PSI,SRC-R19-GSC-CWV	done	single_source=4; blocked=1	medium-high	Public PSI field state is No Data; lab run is diagnostic only and cannot be called a CWV pass
R20	R20-SXO	worker	purchase-task-completion,contact-task-boundary,esim-safety-conflict,commerce-disclosure,commerce-accessibility,commerce-policy-surface	EC-R20-01..10	SRC-R20-G0,SRC-R20-G2,SRC-R20-CONTACT,SRC-R20-ORDER,SRC-R20-WIDGET,SRC-R20-COMMERCE-UI,SRC-R20-PRIVACY,SRC-R20-TERMS,SRC-R20-REFUND,SRC-R20-SHIPPING	done	single_source=10	high	No payment QR scan contact or external action; direct SKU and policy blockers remain
R21	R21-FRESHNESS	worker	freshness-registry,freshness-expiry,freshness-fail-closed,freshness-gap	EC-R21-01..05	SRC-R21-REGISTRY,SRC-R21-MANIFEST,SRC-R21-TOOLS,SRC-R21-TEST	done	single_source=5	medium-high	Two tools have a shared executable expiry; a complete claim-level registry is still absent
R22	R22-SPAM-RISK	worker	link-scheme-spam-outreach-compliance	EC-R22-01..03	SRC-R22-GSC-SPAM,SRC-R22-GSC-REL,SRC-R23-OUTREACH-LEDGER	done	worker-self-checked	mixed	Source-specific worker cards retained; curator decisions follow and blocked gaps remain pending.
R23	R23-DIGITAL-PR	worker	original-data-digital-pr	EC-R23-01..03	SRC-R23-GSC-HELPFUL,SRC-R23-DATA-PREVIEWS,SRC-R23-OUTREACH-LEDGER	done	worker-self-checked	mixed	Source-specific worker cards retained; curator decisions follow and blocked gaps remain pending.
R24	R24-PROSPECT-POLICY	worker	prospect-policy-qualification	EC-R24-01..03	SRC-R24-PROSPECT-LEDGER,SRC-R24-SSNHD-REPO	done	worker-self-checked	mixed	Source-specific worker cards retained; curator decisions follow and blocked gaps remain pending.
R25	R25-COMMUNITY-RULES	worker	community-contribution-platform-rules	EC-R25-01..05	SRC-R25-GITHUB-AUP,SRC-R25-GITHUB-COMMUNITY,SRC-R25-ZHIHU-INSTITUTION-USAGE,SRC-R25-BILIBILI-TERMS,SRC-R25-X-AUTHENTICITY	done	worker-plus-independent-source-refresh	mixed	Original worker cards were independently refreshed for the current Zhihu institution-account and X Authenticity policy sources; accepted scope does not imply account, post, link or publication permission.
R26	R26-LINK-GRAPH	worker	internal-link-graph-crawl-depth	EC-R26-01..04	SRC-R26-LINK-GRAPH,SRC-R26-LINK-TEST	done	worker-self-checked	mixed	Source-specific worker cards retained; curator decisions follow and blocked gaps remain pending.
R27	R27-CANNIBALIZATION	worker	keyword-ownership-cannibalization	EC-R27-01..05	SRC-R27-CLUSTER-PLAN,SRC-R27-ROUTE-MANIFEST,SRC-R27-OWNERSHIP	done	worker-self-checked	mixed	Source-specific worker cards retained; curator decisions follow and blocked gaps remain pending.
R28	R28-TRUST-REDTEAM	worker	trust-trademark-identity-disclosure	EC-R28-01..05	SRC-R28-SCHEMA,SRC-R28-CONTACT,SRC-R28-RECHARGE,SRC-R28-LEGACY-NAV,SRC-R29-REDTEAM	done	worker-self-checked	mixed	Source-specific worker cards retained; curator decisions follow and blocked gaps remain pending.
R29	R29-COMMERCE-EVIDENCE	worker	commerce-eeat-payment-funnel	EC-R29-01..05	SRC-R29-POLICY-HTTP,SRC-R29-G2-LEGACY,SRC-R29-CONTACT-FUNNEL,SRC-R29-REDTEAM	done	worker-self-checked	mixed	Source-specific worker cards retained; curator decisions follow and blocked gaps remain pending.
CURATOR-16	CURATE-R16	curator	R16-ALL	EC-R16-01,EC-R16-02,EC-R16-03	SRC-R16-FREEZE,SRC-R16-RELATED,SRC-R16-GATE	accepted	accepted=3; pending=0; rejected=0	high	Independent curator accepted the source-correct replacement card for the current build order; local verification is not production deployment evidence.
CURATOR-17	CURATE-R17	curator	R17-ALL	EC-R17-01,EC-R17-02,EC-R17-03,EC-R17-04,EC-R17-05,EC-R17-06,EC-R17-07	SRC-R17-GOOGLE-SITEMAP,SRC-R17-GSC-REPORT,SRC-R17-INDEXNOW,SRC-R17-BING-INDEXNOW,SRC-R17-REPO-RECEIPT,SRC-R17-GSC-BACKEND,SRC-R17-BING-BACKEND	partially-curated-open-cards	accepted=5; pending=2; rejected=0	mixed	Independent curator decision recorded for all 7 cards; open/rejected cards remain non-accepted: EC-R17-06,EC-R17-07. Local fixes are not production or business evidence.
CURATOR-18	CURATE-R18	curator	R18-ALL	EC-R18-01,EC-R18-02,EC-R18-03,EC-R18-04	SRC-R18-BAIDU-SUBMIT,SRC-R18-BAIDU-SITE,SRC-R18-BAIDU-ROBOTS,SRC-R18-BAIDU-BACKEND	partially-curated-open-cards	accepted=3; pending=1; rejected=0	mixed	Independent curator decision recorded for all 4 cards; open/rejected cards remain non-accepted: EC-R18-04. Local fixes are not production or business evidence.
CURATOR-19	CURATE-R19	curator	R19-ALL	EC-R19-01,EC-R19-02,EC-R19-03,EC-R19-04,EC-R19-05	SRC-R19-VITALS,SRC-R19-TOOLS,SRC-R19-PSI,SRC-R19-GSC-CWV	partially-curated-open-cards	accepted=4; pending=1; rejected=0	mixed	Independent curator decision recorded for all 5 cards; open/rejected cards remain non-accepted: EC-R19-05. Local fixes are not production or business evidence.
CURATOR-20	CURATE-R20	curator	R20-ALL	EC-R20-01,EC-R20-02,EC-R20-03,EC-R20-04,EC-R20-05,EC-R20-06,EC-R20-07,EC-R20-08,EC-R20-09,EC-R20-10	SRC-R20-G0,SRC-R20-G2,SRC-R20-CONTACT,SRC-R20-ORDER,SRC-R20-WIDGET,SRC-R20-COMMERCE-UI,SRC-R20-PRIVACY,SRC-R20-TERMS,SRC-R20-REFUND,SRC-R20-SHIPPING	accepted	accepted=10; pending=0; rejected=0	mixed	Independent curator decision recorded for all 10 cards; open/rejected cards remain non-accepted: none. Local fixes are not production or business evidence.
CURATOR-21	CURATE-R21	curator	R21-ALL	EC-R21-01,EC-R21-02,EC-R21-03,EC-R21-04,EC-R21-05	SRC-R21-MANIFEST,SRC-R21-REGISTRY,SRC-R21-TOOLS,SRC-R21-TEST	accepted	accepted=5; pending=0; rejected=0	high	Independent curator accepted the current 12-page replacement card; the broader claim-level expiry registry gap remains explicit.
