source_id	url	source_type	tier	status	access_date	owner_worker	title	notes
SRC-R26-LINK-TEST	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/test/source-cards-link-graph.test.mjs	repository_test	required	verified	2026-07-17	R26	Internal-link graph regression test	Four focused tests passed locally on 2026-07-17
SRC-R27-CLUSTER-PLAN	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/strategy/cluster-plan.json	repository_observation	required	verified	2026-07-17	R27	Existing-first intent cluster plan	Contains canonical-owner rules and explicitly says no SERP overlap matrix is available
SRC-R27-ROUTE-MANIFEST	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/public/route-manifest.js	repository_observation	required	verified	2026-07-17	R27	Current route manifest	Current indexable growth route for the China roaming calculator is /tools/china-roaming-cost/
SRC-R27-OWNERSHIP	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/research/seo-geo-hive-2026-07-17/query-ownership-r27.tsv	repository_observation	required	verified	2026-07-17	R27	Bounded query-to-URL ownership table	Maps current cluster intents and records overlap/conflict cases without search-volume claims
SRC-R28-SCHEMA	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/growth/guides/7-arrival-checklist/index.html	repository_observation	required	verified	2026-07-17	R28	Rendered growth-page entity graph	Separate getgiffgaff Organization and external giffgaff Brand entities
SRC-R28-CONTACT	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/legacy/contact/index.html	repository_observation	required	verified	2026-07-17	R28	Rendered contact page	Explicitly says not to send passwords, SMS codes or full payment-card data
SRC-R28-RECHARGE	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/legacy/guides/4-recharge-service/index.html	repository_observation	required	verified	2026-07-17	R28	Rendered recharge-service page	Leaves passwords and verification codes inside a possible risk/necessary-information boundary
SRC-R28-LEGACY-NAV	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/legacy/guides/5-travel-data/index.html	repository_observation	required	verified	2026-07-17	R28	Representative frozen legacy navigation	Still displays action-oriented 9eSIM QR write-card anchor text
SRC-R29-POLICY-HTTP	https://getgiffgaff.com/privacy/	production_observation	required	verified	2026-07-17	R29	Production consumer-policy route checks	/privacy/, /terms/, /refund/ and /shipping/ each returned HTTP 404
SRC-R29-G2-LEGACY	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/legacy/shop/giffgaff-g2/index.html	repository_observation	required	verified	2026-07-17	R29	Rendered G2 product page	Seller-specific suitability, balance and fulfillment statements require dated batch evidence
SRC-R29-CONTACT-FUNNEL	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/legacy/contact/index.html	repository_observation	required	verified	2026-07-17	R29	Rendered contact/QR purchase funnel	G0 and G2 actions lead to the same QR dialog or inventory-confirmation path
SRC-R29-REDTEAM	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/research/seo-geo-hive-2026-07-17/execution-red-team-e28.md	repository_observation	required	verified	2026-07-17	R29	Commerce and privacy red-team	Records missing direct SKU, real payment, fulfillment, cancellation/refund and support evidence as blocked business inputs
