evidence_id	claim_group_id	claim	claim_value	entity	timeframe	source_id	source_url	source_type	access_date	excerpt_or_observation	evidence_grade	supports	counter_evidence	verification_status	confidence	independent_source_count	source_independence	reviewer_status	review_notes
EC-R02-04	china-payg-rates	China PAYG roaming uses 20p per MB £1 outbound per minute after a first-30-second unit £1 incoming per rounded minute 30p sent SMS and free received SMS	current_payg_units	giffgaff China roaming	2026-07-17	SRC-R02-CHINA-RATES	https://www.giffgaff.com/roaming/china	official	2026-07-17	Official destination table exposes exact rates and charging units	strong	fact	Travel Data Add-on is a separate route and current calculator undercounts fractional calls	single_source	high	1	independent	accepted	P0 formula correction or disable misleading call totals
EC-R02-05	china-travel-addon	China is supported by a country-specific non-EU Travel Data Add-on purchased in the app with 1 5 or 10 GB and 30-day validity	china_addon_available	giffgaff Travel Data Add-on	2026-07-17	SRC-R02-TRAVEL-ADDON	https://help.giffgaff.com/en/articles/365501-giffgaff-travel-data-add-ons-and-how-they-work	official	2026-07-17	Official help lists China and app-only country-specific purchase; roaming page shows sizes and validity	strong	fact	No fixed China add-on price was accepted from the fetched help text	single_source	high	1	independent	accepted	Calculator must label itself PAYG and mention this alternative
EC-R02-06	uk-coverage	giffgaff runs on O2 and coverage is predicted rather than guaranteed	O2_predicted_not_guaranteed	giffgaff UK coverage	2026-07-17	SRC-R02-TERMS	https://www.giffgaff.com/boiler-plate/terms	official	2026-07-17	Terms describe predicted coverage and service limits including walls technical issues and congestion	strong	fact	Cannot establish performance for a postcode indoor location transit line or device	single_source	high	1	independent	accepted	Add direct coverage or terms source to SIM-choice page
EC-R02-07	sms-policy	SMS is for personal non-commercial use and automated bulk commercial or modified-device patterns may be suspended	personal_noncommercial_sms	giffgaff SMS service	2026-07-17	SRC-R02-SMS-POLICY	https://help.giffgaff.com/en/articles/246074-policy-to-manage-illegitimate-sms-usage	official	2026-07-17	Official policy lists disallowed automated mailing-list commercial and device patterns	strong	fact	No fixed safe message-count threshold is supplied and personal use does not guarantee OTP delivery	single_source	high	1	independent	accepted	Use only for narrow fair-use boundaries
EC-R02-08	credit-plans	Credit is separate from covered plan usage and giffgaff currently offers PAYG monthly rolling and 18-month plans	credit_and_three_plan_types	giffgaff credit and plans	2026-07-17	SRC-R02-CREDIT	https://help.giffgaff.com/en/articles/240847-everything-to-know-about-credit	official	2026-07-17	Official help explains Credit balance and current minimum top-up; plan page shows three plan types	strong	fact	Plan prices and promotions are dynamic; not all offers are contract-free	single_source	high	1	independent	accepted	Do not describe the whole operator as no-contract
EC-R02-09	account-boundary	Terms require personal non-commercial use accurate information and own-account SIM swap; no official account-transfer process was verified	personal_account_boundary	giffgaff account and SIM	2026-07-17	SRC-R02-TERMS	https://www.giffgaff.com/boiler-plate/terms	official	2026-07-17	Terms sections 3.3 3.5 and 3.6 establish the affirmative duties	medium	inference	Absence of a found transfer process cannot prove every G2 arrangement violates terms	single_source	medium	1	independent	accepted	Accept duties and evidence gap; reject categorical legality claims
EC-R02-10	international-delivery	Official free international SIM delivery currently lists Australia Japan and Spain and does not list China	AU_JP_ES_only	giffgaff physical SIM delivery	2026-07-17	SRC-R02-ORDER	https://help.giffgaff.com/en/articles/240676-ordering-a-sim-in-the-uk-or-abroad	official	2026-07-17	Official help says at the moment only Australia Japan and Spain	strong	fact	Third-party domestic fulfillment is separate from official delivery	single_source	high	1	independent	accepted	Never describe the site or other seller delivery as official direct shipping
EC-R22-01	link-spam-policy	Google defines link spam as links created primarily to manipulate search rankings and lists paid ranking links and excessive exchanges as examples	ranking_manipulation_and_exchanges_prohibited	Google Search	2026-07-17	SRC-R22-GSC-SPAM	https://developers.google.com/search/docs/essentials/spam-policies#link-spam	official_policy	2026-07-17	Official Link spam section defines the practice and explicitly lists buying or selling links for ranking purposes and excessive link exchanges	strong	fact	The policy does not say every editorial citation or every commercial relationship is link spam	single_source	high	1	independent	accepted	Curator independently checked the cited official or scoped local source; claim accepted narrowly with its counter-evidence and no permission, outcome, ranking or legal inference.
EC-R22-02	link-attribute-policy	Google says paid links should use sponsored and recommends ugc for user-generated links; nofollow applies when other values do not	sponsored_ugc_nofollow_distinct	Google outbound-link qualification	2026-07-17	SRC-R22-GSC-REL	https://developers.google.com/search/docs/crawling-indexing/qualify-outbound-links	official_policy	2026-07-17	Official table gives separate definitions and examples for rel sponsored, ugc and nofollow and permits multiple rel values	strong	fact	A rel value does not replace visible commercial disclosure or make a manipulative placement acceptable	single_source	high	1	independent	accepted	Curator independently checked the cited official or scoped local source; claim accepted narrowly with its counter-evidence and no permission, outcome, ranking or legal inference.
EC-R22-03	outreach-safety-state	The local prospect ledger has no populated contact or live-outcome values; one target has a general contribution policy but no getgiffgaff-specific permission	no_contact_no_live_one_general_policy	getgiffgaff outreach ledger	2026-07-17	SRC-R23-OUTREACH-LEDGER	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/outreach/backlink-prospects.csv	repository_observation	2026-07-17	All 23 rows have empty first_contact, next_follow_up, live_url and live_evidence_url; 22 acceptance_evidence values are none_found and one records a README general contribution policy	strong	fact	A general contribution policy does not pre-approve a commercial tool or link placement; empty fields do not prove that no external citation exists outside this ledger	single_source	high	1	independent	accepted	Curator independently parsed 23 prospect rows representing 22 hostnames and narrowed the claim to the scoped ledger; no external-state or placement inference.
EC-R23-01	original-research-guidance	Google's helpful-content self-assessment asks whether content provides original information, reporting, research or analysis	originality_is_quality_question	Google Search content guidance	2026-07-17	SRC-R23-GSC-HELPFUL	https://developers.google.com/search/docs/fundamentals/creating-helpful-content	official_guidance	2026-07-17	Official people-first content questions include original information, reporting, research or analysis	strong	fact	The guidance does not promise backlinks, rankings, indexing or AI citations for original data	single_source	high	1	independent	accepted	Curator independently checked the cited official or scoped local source; claim accepted narrowly with its counter-evidence and no permission, outcome, ranking or legal inference.
EC-R23-02	original-data-readiness	The China network/SMS and OTP research previews publish methods and sample thresholds but no actual reviewed sample corpus	method_only_no_sample_corpus	getgiffgaff data previews	2026-07-17	SRC-R23-DATA-PREVIEWS	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/growth/research/	repository_observation	2026-07-17	Rendered previews say evidence is insufficient, keep noindex, and require 30 reviewed network records or 50 reviewed OTP events before opening indexation	strong	fact	A future privacy-safe corpus could change readiness after methodology and curator review	single_source	high	1	independent	accepted	Curator independently checked the cited official or scoped local source; claim accepted narrowly with its counter-evidence and no permission, outcome, ranking or legal inference.
EC-R23-03	digital-pr-outcome	The scoped outreach ledger contains research candidates and drafts but no verified contact, getgiffgaff-specific acceptance or live earned placement	zero_verified_outcomes_in_ledger	getgiffgaff earned-link campaign	2026-07-17	SRC-R23-OUTREACH-LEDGER	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/outreach/backlink-prospects.csv	repository_observation	2026-07-17	Result fields are empty across 23 prospect rows representing 22 hostnames and no row records a live evidence URL; one README general policy is not a getgiffgaff acceptance result	strong	fact	This bounded ledger cannot establish the site's full backlink profile or prove publisher demand is zero	single_source	high	1	independent	accepted	Curator independently checked the scoped ledger and kept general contribution eligibility separate from contact, acceptance and live placement.
EC-R24-01	prospect-qualification	The 23-candidate prospect ledger contains one explicit general contribution policy and no getgiffgaff-specific permission or placement	one_general_policy_no_specific_permission	getgiffgaff prospect corpus	2026-07-17	SRC-R24-PROSPECT-LEDGER	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/outreach/backlink-prospects.csv	repository_observation	2026-07-17	CSV inspection found 23 distinct prospect URLs across 22 hostnames; 22 acceptance_evidence cells are none_found and one cites a README that welcomes genuinely useful traveler contributions	strong	fact	The maintainer could later reject a commercial tool or require different contribution scope; no Issue or PR was opened	single_source	high	1	independent	accepted	Curator accepted only the general policy fact and did not infer target-specific approval, placement, endorsement or earned link.
EC-R24-02	repository-contribution-policy	The public ssnhd/giffgaff repository root displayed only README.md and .DS_Store and no visible contribution or resource-submission policy	no_visible_policy_at_root	ssnhd/giffgaff	2026-07-17	SRC-R24-SSNHD-REPO	https://github.com/ssnhd/giffgaff	public_repository	2026-07-17	Direct repository-root observation displayed two files and no CONTRIBUTING, code-of-conduct or submission-policy file	medium	fact	A policy may exist outside the root, in owner instructions, or be added later; absence is neither permission nor rejection	single_source	medium	1	independent	accepted	Curator independently checked the cited official or scoped local source; claim accepted narrowly with its counter-evidence and no permission, outcome, ranking or legal inference.
EC-R24-03	outreach-permission	No getgiffgaff-specific editorial permission or direct written invitation is present for any prospect	permission_not_established	getgiffgaff prospects	2026-07-17	SRC-R24-PROSPECT-LEDGER	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/outreach/backlink-prospects.csv	repository_observation	2026-07-17	One README welcomes general traveler-resource contributions, but no row contains an authorized contact record or permission for this commercial site, tool or link	blocked	fact	Permission could later be established by target-specific policy fit or a retained direct response after release and identity gates pass	blocked	blocked	0	unknown	pending	Pending blocked: general contribution eligibility is not getgiffgaff-specific permission and cannot authorize action while release gates remain open.
EC-R25-01	github-platform-spam	GitHub prohibits spam, bulk promotional distribution and unsolicited advertising or solicitation under its Acceptable Use Policies	spam_and_unsolicited_promotion_prohibited	GitHub	2026-07-17	SRC-R25-GITHUB-AUP	https://docs.github.com/en/site-policy/acceptable-use-policies/github-acceptable-use-policies	official_policy	2026-07-17	Official section 4 covers spam and inauthentic activity and includes bulk promotions and unsolicited advertising or solicitation	strong	fact	GitHub notes advertising is not categorically prohibited, so the claim is narrower than a blanket no-promotion rule	single_source	high	1	independent	accepted	Curator independently checked the cited official or scoped local source; claim accepted narrowly with its counter-evidence and no permission, outcome, ranking or legal inference.
EC-R25-02	github-community-purpose	GitHub says its community's primary purpose is software collaboration and maintainers may publish project-specific interaction expectations	software_collaboration_and_maintainer_expectations	GitHub community	2026-07-17	SRC-R25-GITHUB-COMMUNITY	https://docs.github.com/en/site-policy/github-terms/github-community-guidelines	official_policy	2026-07-17	Official guidelines state the primary purpose and identify README, CONTRIBUTING and code-of-conduct files as places for maintainer expectations	strong	fact	The general guideline does not grant permission to pitch a particular repository	single_source	high	1	independent	accepted	Curator independently checked the cited official or scoped local source; claim accepted narrowly with its counter-evidence and no permission, outcome, ranking or legal inference.
EC-R25-03	zhihu-institution-account-rules	Zhihu's official Institution Account Usage Specification (Trial) treats publishing large amounts of information through private messages, comments or answers in ways that harass users as malicious marketing and lists repeated low-quality promotional-link content, duplicate answers and frequent promotional private messages as examples	institution_account_bulk_repetitive_promotion_restricted	Zhihu institution accounts	undated policy page accessed 2026-07-17	SRC-R25-ZHIHU-INSTITUTION-USAGE	https://www.zhihu.com/term/institution-usage	official_policy	2026-07-17	Section 4.1 is expressly titled institution-account conduct rules; section 4.1.3.1 identifies large-volume private-message, comment or answer posting that harasses users, and its examples include repeated low-quality diversion content with contact details or promotional links, duplicate answers and frequent product-promotion private messages	strong	fact	The page is an undated trial specification for institution accounts; it does not establish personal-account rules or permit any particular account, post, answer, private message, promotional link or external link	single_source	high	1	independent	accepted	Independent red-team review checked both direct official HTML and Jina text; accepted only as an institution-account policy-text fact with no personal-account, permission, placement, backlink, outcome or enforcement inference.
EC-R25-04	bilibili-platform-rules	Bilibili's current official agreement prohibits transmitting advertising letters, promotional material and spam and places content-rights responsibility on the uploader	promotional_spam_prohibited_and_rights_required	Bilibili	2026-07-17	SRC-R25-BILIBILI-TERMS	https://www.bilibili.com/blackboard/protocal/licence.html	official_policy	2026-07-17	The current 2025-04-30 agreement manifest includes clauses on lawful content rights and a prohibition on advertising letters, promotional material and spam	strong	fact	The agreement does not approve a specific video, account, external link or commercial use case	single_source	high	1	independent	accepted	Curator independently checked the cited official or scoped local source; claim accepted narrowly with its counter-evidence and no permission, outcome, ranking or legal inference.
EC-R25-05	x-authenticity-content-spam	X's Authenticity policy says users may not share or post content in a bulk, duplicative, irrelevant or unsolicited manner that disrupts people's experience	bulk_duplicative_irrelevant_unsolicited_content_prohibited	X	policy page labeled April 2025; accessed 2026-07-17	SRC-R25-X-AUTHENTICITY	https://help.x.com/en/rules-and-policies/authenticity	official_policy	2026-07-17	The Content Spam section states that content may not be shared or posted in a bulk, duplicative, irrelevant or unsolicited manner that disrupts people's experience; returned examples include high-volume unsolicited replies, mentions or direct messages, repeated link-only activity, irrelevant promotional replies and repeated identical or near-identical posts	medium	fact	Direct unauthenticated access returned a Cloudflare 403 challenge and the substantive body was read through Jina; the policy does not categorically ban all promotion or external links and does not approve any specific post, account, automation or link	single_source	medium	1	independent	accepted	Independent red-team review accepted only the narrow Jina-retrieved official policy-text fact; page-body April 2025 label is retained and Jina's conflicting 2026 Published Time is not treated as a publication or update date.
EC-R26-01	internal-link-reachability	All 39 indexable routes are reachable from the homepage in the local rendered thematic graph	39_reachable	getgiffgaff indexable routes	2026-07-17	SRC-R26-LINK-GRAPH	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/research/seo-geo-hive-2026-07-17/link-graph-r26.tsv	repository_observation	2026-07-17	Every indexable route has a finite breadth-first depth in the graph export; no route is marked unreachable	strong	fact	Local reachability does not prove production crawl frequency, indexation or ranking	single_source	high	1	independent	accepted	Curator independently rebuilt the local release/graph or reran the focused test; accepted only as current local-worktree evidence, not production crawl, indexing or ranking.
EC-R26-02	growth-link-depth	Each of the five indexable growth routes has at least two thematic inlink sources and thematic depth at most two	five_growth_pages_depth_two	getgiffgaff growth routes	2026-07-17	SRC-R26-LINK-GRAPH	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/research/seo-geo-hive-2026-07-17/link-graph-r26.tsv	repository_observation	2026-07-17	Growth-route rows show depth 2 and thematic inbound counts of 3, 2, 3, 4 and 2	strong	fact	This result is limited to five growth routes and does not establish a sitewide depth-two standard	single_source	high	1	independent	accepted	Curator independently rebuilt the local release/graph or reran the focused test; accepted only as current local-worktree evidence, not production crawl, indexing or ranking.
EC-R26-03	internal-link-counterevidence	The indexable research hub is reachable but sits at thematic depth three with one non-sitewide thematic inlink	research_depth_three_one_inlink	getgiffgaff /research/	2026-07-17	SRC-R26-LINK-GRAPH	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/research/seo-geo-hive-2026-07-17/link-graph-r26.tsv	repository_observation	2026-07-17	The /research/ row shows depth 3, one thematic inlink and seven thematic outlinks	strong	fact	Sitewide navigation may provide other paths, but it was intentionally excluded from this thematic audit	single_source	high	1	independent	accepted	Curator independently rebuilt the local release/graph or reran the focused test; accepted only as current local-worktree evidence, not production crawl, indexing or ranking.
EC-R26-04	internal-link-test	The focused internal-link graph suite passed four local tests	four_tests_pass	getgiffgaff link graph tests	2026-07-17	SRC-R26-LINK-TEST	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/test/source-cards-link-graph.test.mjs	repository_test	2026-07-17	node --test reported 4 tests, 4 pass, 0 fail	strong	fact	Passing local tests do not prove the currently deployed production graph matches the local artifact	single_source	high	1	independent	accepted	Curator independently rebuilt the local release/graph or reran the focused test; accepted only as current local-worktree evidence, not production crawl, indexing or ranking.
EC-R27-01	query-ownership	The cluster plan assigns primary canonical owners to nine core queries and separates navigation, transaction, process, explanation and service roles	canonical_owners_declared	getgiffgaff content architecture	2026-07-17	SRC-R27-CLUSTER-PLAN	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/strategy/cluster-plan.json	repository_observation	2026-07-17	guardrails.canonicalOwners maps activation, keep-number, eSIM, OTP, G0/G2, purchase, order, self-top-up and recharge-service queries to distinct URLs	strong	fact	Declared ownership does not prove search engines select those URLs or that rendered content never overlaps	single_source	high	1	independent	accepted	Curator independently checked the scoped repository declaration; accepted with declared-owner/current-worktree boundary and no search-engine-owner or zero-cannibalization inference.
EC-R27-02	serp-overlap-evidence	The repository has no quantitative pairwise Top-10 SERP overlap matrix for the planned keyword set	no_serp_overlap_matrix	getgiffgaff cluster research	2026-07-17	SRC-R27-CLUSTER-PLAN	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/strategy/cluster-plan.json	repository_observation	2026-07-17	methodology.serpOverlap records qualitative evidence only, matrixAvailable false, and a reason explaining the missing matrix	strong	fact	A dated search-results sample could later provide quantitative overlap evidence	single_source	high	1	independent	accepted	Curator independently checked the scoped repository declaration; accepted with declared-owner/current-worktree boundary and no search-engine-owner or zero-cannibalization inference.
EC-R27-03	roaming-url-ownership	The older cluster plan assigns the China roaming calculator intent to /guides/5-travel-data/	plan_assigns_legacy_guide	getgiffgaff roaming content	2026-07-17	SRC-R27-CLUSTER-PLAN	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/strategy/cluster-plan.json	repository_observation	2026-07-17	The roaming-cost-tool post uses url /guides/5-travel-data/ and implementationState rewrite-existing-url-as-original-tool	strong	fact	The current manifest has a separate /tools/china-roaming-cost/ route, so the planning assignment is not the current implementation	conflicting	high	2	independent	accepted	Curator independently checked the scoped repository declaration; accepted with declared-owner/current-worktree boundary and no search-engine-owner or zero-cannibalization inference.
EC-R27-04	data-page-ownership	Network/SMS, OTP and exact-device evidence routes remain noindex and own only data methods or future dated samples	noindex_data_gates	getgiffgaff research previews	2026-07-17	SRC-R27-OWNERSHIP	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/research/seo-geo-hive-2026-07-17/query-ownership-r27.tsv	repository_observation	2026-07-17	Ownership table separates the noindex previews from the indexable diagnostic and eSIM workflow owners	strong	fact	Future reviewed datasets could justify a different index decision and require a fresh cannibalization review	single_source	high	1	independent	accepted	Curator independently checked the scoped repository declaration; accepted with declared-owner/current-worktree boundary and no search-engine-owner or zero-cannibalization inference.
EC-R27-05	roaming-url-ownership	The current route manifest makes /tools/china-roaming-cost/ the indexable growth route for the China roaming calculator	current_manifest_assigns_tool	getgiffgaff roaming content	2026-07-17	SRC-R27-ROUTE-MANIFEST	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/public/route-manifest.js	repository_observation	2026-07-17	INDEXABLE_GROWTH_ROUTES includes /tools/china-roaming-cost/ while /guides/5-travel-data/ remains a legacy route	strong	fact	The older cluster plan assigns calculator intent to the legacy guide, so documentation ownership still needs reconciliation	conflicting	high	2	independent	accepted	Curator independently checked the scoped repository declaration; accepted with declared-owner/current-worktree boundary and no search-engine-owner or zero-cannibalization inference.
EC-R28-01	entity-separation	Rendered growth Schema separates the getgiffgaff Organization from the external giffgaff Brand and links page about to the Brand	organization_brand_separate	getgiffgaff and giffgaff	2026-07-17	SRC-R28-SCHEMA	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/growth/guides/7-arrival-checklist/index.html	repository_observation	2026-07-17	JSON-LD graph has distinct Organization and Brand IDs; the page publisher is getgiffgaff and about points to giffgaff	strong	fact	Technical separation does not establish legal identity, authorization, trademark sufficiency or official affiliation	single_source	high	1	independent	accepted	Curator independently checked the cited official or scoped local source; claim accepted narrowly with its counter-evidence and no permission, outcome, ranking or legal inference.
EC-R28-02	credential-boundary	The recharge-service page leaves passwords and verification codes inside a possible service-risk boundary	recharge_risk_acknowledgement	getgiffgaff support flow	2026-07-17	SRC-R28-RECHARGE	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/legacy/guides/4-recharge-service/index.html	repository_observation	2026-07-17	Rendered information-boundary copy says that when passwords or verification codes are involved the user should confirm they understand the risk	strong	fact	Contact separately says not to send account passwords or SMS codes, so the two rendered boundaries conflict	conflicting	high	2	independent	accepted	Curator accepted the dated frozen/production observation; current local release mitigates the publication risk but is not deployed and does not supply missing business evidence.
EC-R28-03	esim-safety-disclosure	Frozen legacy navigation still uses action-oriented text about obtaining an eSIM QR code and writing it to 9eSIM	legacy_9esim_action_anchor	getgiffgaff legacy navigation	2026-07-17	SRC-R28-LEGACY-NAV	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/legacy/guides/5-travel-data/index.html	repository_observation	2026-07-17	Representative rendered sidebar and mobile navigation contain giffgaff 获取 eSIM 二维码并写入到 9eSIM	strong	fact	The destination body now rejects extraction, upload and third-party write-card instructions, creating an unresolved presentation conflict	single_source	high	1	independent	accepted	Curator accepted the dated frozen/production observation; the body-level counter-observation is not a separate 20-field card, so cross-source conflict is not claimed. Current local release mitigates the publication risk but is not deployed and does not supply missing business evidence.
EC-R28-04	identity-authorization	Verified legalName, controlled sameAs profiles, written carrier authorization and qualified trademark/domain review were not supplied	identity_and_authorization_unverified	getgiffgaff operator	2026-07-17	SRC-R29-REDTEAM	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/docs/research/seo-geo-hive-2026-07-17/execution-red-team-e28.md	repository_observation	2026-07-17	Independent red-team records these owner inputs and professional review as absent from the scoped package	blocked	fact	The owner may later supply verified identity, controlled profiles, authorization or qualified advice	blocked	blocked	0	unknown	pending	Pending blocked business/legal input: scoped package lacks verified identity, authorization and qualified trademark/domain review; no external-absence or legal conclusion.
EC-R28-05	credential-boundary	The Contact page tells users not to send account passwords, SMS codes or full payment-card information	contact_prohibits_credentials	getgiffgaff support flow	2026-07-17	SRC-R28-CONTACT	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/legacy/contact/index.html	repository_observation	2026-07-17	Rendered consultation-materials copy explicitly says not to send the three listed credential/payment categories	strong	fact	Recharge-service copy separately treats passwords or codes as a risk to understand, leaving an inconsistent boundary	conflicting	high	2	independent	accepted	Curator independently checked the cited official or scoped local source; claim accepted narrowly with its counter-evidence and no permission, outcome, ranking or legal inference.
EC-R29-01	consumer-policy-routes	Production privacy, terms, refund and shipping paths each returned HTTP 404	four_policy_routes_404	getgiffgaff production	2026-07-17	SRC-R29-POLICY-HTTP	https://getgiffgaff.com/privacy/	production_observation	2026-07-17	Direct checks of /privacy/, /terms/, /refund/ and /shipping/ each returned status 404 on the canonical origin	strong	fact	A future HTTP 200 is not enough by itself; content must reflect real reviewed business processes	single_source	high	1	independent	accepted	Curator accepted the dated frozen/production observation; current local release mitigates the publication risk but is not deployed and does not supply missing business evidence.
EC-R29-02	g2-commerce-claims	The frozen G2 product page contains seller-specific suitability, balance and fulfillment statements	g2_seller_claims_present	getgiffgaff G2	2026-07-17	SRC-R29-G2-LEGACY	file:///Users/siuserxiaowei/Desktop/对外代充网站/getgiffgaff/site/legacy/shop/giffgaff-g2/index.html	repository_observation	2026-07-17	Rendered copy includes preferred/new-user or urgent-use positioning, a usual 10-14 pound balance range and dispatch timing language	strong	fact	The presence of copy is not proof that any current batch satisfies those statements	single_source	high	1	independent	accepted	Curator accepted the dated frozen/production observation; current local release mitigates the publication risk but is not deployed and does not supply missing business evidence.
